Month,<2.5kW,2.5–4.5,4.5–6.5,6.5–9.5,9.5–14,14–25,25–50,50–100,100kW–5MW,5MW–30MW,30+ MW
2015-12,2230,11593,23905,2833,3514,3203,3408,5412,3848,0,0
2016-01,1979,8921,19712,2359,2203,1857,1930,2748,894,0,0
2016-02,2669,11839,26026,3079,2828,2733,3709,3652,1164,0,56000
2016-03,2491,11848,25194,3038,2780,2453,3349,3941,2207,0,0
2016-04,2452,11219,23662,3522,3106,2805,3381,5427,2140,10560,0
2016-05,2385,11513,25091,3916,3134,3212,3809,5365,1210,0,0
2016-06,2166,10716,23492,3603,3579,3714,4487,4853,7522,0,0
2016-07,2263,10894,23424,3727,3756,3369,4060,5280,1281,0,0
2016-08,2566,12188,27127,4050,3843,3993,4866,4784,2775,0,0
2016-09,2143,11740,28051,4104,4290,3920,5621,5726,3190,0,0
2016-10,2289,10705,27976,4294,4141,3365,4940,6439,1954,0,0
2016-11,2479,13980,34408,5479,4496,4153,5135,5209,3304,0,0
2016-12,2334,13496,38336,6306,6205,5589,8922,15771,3004,23988,0
2017-01,1947,10483,27144,4105,2809,2126,2518,2791,2487,0,0
2017-02,2729,12851,34733,4848,4406,3355,4644,3478,1912,0,0
2017-03,2944,13579,38229,5535,5304,4000,5863,6892,3154,25000,0
2017-04,2100,10738,32330,5140,4106,3254,5512,5887,1252,0,0
2017-05,2603,13420,39900,7028,6279,5802,6534,9989,6263,0,0
2017-06,2395,12331,39524,6644,6411,5915,8236,10025,5249,0,0
2017-07,2330,12294,43169,6627,6465,5291,6420,10117,2205,15000,0
2017-08,2605,12787,46491,8928,7661,5121,7654,7827,2882,0,0
2017-09,2138,11523,43058,9220,7821,5299,7395,8748,3899,0,0
2017-10,1997,11999,47362,10992,8541,5503,7675,11639,4533,0,0
2017-11,2135,12979,54959,14002,11091,7440,8876,14020,15613,13054,0
2017-12,1888,11847,51218,15309,11821,8685,12570,28046,4258,10898,129091
2018-01,1594,10650,42609,12663,7672,4114,4733,5826,4193,20162,34942
2018-02,1808,12266,49024,14329,10030,5896,6860,9286,12044,0,0
2018-03,2031,12337,50363,17518,11380,6812,8158,11504,5598,17344,339284
2018-04,1772,11044,44590,16520,9907,6795,8051,11043,10344,16519,0
2018-05,2058,12217,47687,22124,12998,8094,10169,15911,11998,37254,193702
2018-06,1576,9708,40810,24886,12174,8637,10449,16034,9192,5962,0
2018-07,1629,10166,43584,31170,13537,7930,9418,10571,9675,0,385566
2018-08,1690,10814,44300,37542,14238,9173,9749,12804,7513,5980,207051
2018-09,1435,10298,41633,42000,12994,7125,8621,10892,10909,25172,657275
2018-10,1645,11633,46899,51122,15560,7707,10435,13523,10720,19924,112459
2018-11,1778,11811,51439,61671,17494,8974,10701,19109,13609,0,205416
2018-12,1268,9882,41257,57267,19639,12044,14491,32485,18750,0,75092
2019-01,1043,9535,34595,52656,11040,4866,5302,6312,12712,50874,84749
2019-02,1459,10840,43407,62885,16922,7043,7159,13016,14261,11424,253440
2019-03,1278,11275,41528,66520,17597,8610,8548,12631,16403,0,0
2019-04,1090,9846,36641,59631,16895,6924,8228,10961,10471,6093,181003
2019-05,1414,10043,36984,67815,21330,9613,11004,17370,13578,0,252796
2019-06,1359,7873,28777,56438,18453,10654,12830,17023,14066,7801,89216
2019-07,1343,8533,35077,71167,21006,9966,11350,17245,22046,5807,0
2019-08,1334,9363,34880,74781,20317,9279,12976,13978,21621,28352,218144
2019-09,1253,9240,36463,81799,23013,9804,12533,14331,9224,0,0
2019-10,1258,10163,38038,95768,26788,10205,12916,17456,12639,6861,255386
2019-11,1175,11225,37367,106567,30390,11336,14515,20365,23931,29327,300164
2019-12,913,8743,33308,107679,33791,15170,18250,37131,18783,8299,638827
2020-01,867,7800,27512,91170,21388,6194,5915,8324,11505,20654,0
2020-02,843,10088,31808,107374,28054,8953,9136,13274,23240,0,0
2020-03,1188,10689,34884,117388,34742,10758,10984,18534,13791,0,121540
2020-04,1150,9015,27224,99442,32868,9624,10455,16709,20517,0,112414
2020-05,1181,10080,27330,104182,35434,10934,11162,19760,7969,0,0
2020-06,1197,9745,27061,115750,39622,13153,15682,26999,8714,26240,221082
2020-07,1144,9338,30320,134148,46334,12624,13007,19829,9959,16200,33794
2020-08,959,7459,22603,115163,42974,11951,11489,13788,11637,0,0
2020-09,1041,7739,23146,127397,51244,15676,13070,15671,13282,6720,256480
2020-10,1047,8126,23627,136506,52694,13561,13506,17702,8587,0,39056
2020-11,1075,8715,28649,159093,65850,15729,16313,22346,5545,0,306517
2020-12,973,7853,24395,146623,71888,22794,24636,33983,12951,45270,388088
2021-01,631,6606,18870,114776,46877,8040,6540,5705,18812,13664,0
2021-02,949,8404,24616,138575,63729,13152,11714,10550,13109,8275,139666
2021-03,1076,9497,25934,147479,72666,15276,13933,15034,14337,37095,0
2021-04,900,8478,23029,126989,65880,14168,13323,12007,4817,18346,0
2021-05,1005,8479,20035,116289,62859,16299,15662,18731,3987,21161,71142
2021-06,884,8365,21202,115985,64301,17467,18849,20835,8591,0,153777
2021-07,880,7192,20272,112301,62531,15321,14791,16088,8621,0,78798
2021-08,1039,6955,18981,110768,63496,15193,13225,13960,12734,30351,190867
2021-09,868,6755,18850,111163,75908,16480,13676,13097,6643,16854,0
2021-10,879,6118,18108,107753,72824,16355,13123,20283,10686,0,119381
2021-11,891,6297,21399,117792,78615,17719,17311,21860,18566,40602,570624
2021-12,749,5768,20160,113818,90020,25437,25660,38379,19563,0,202501
2022-01,312,3449,12830,67497,40605,6615,4841,2465,1935,0,0
2022-02,686,5088,18001,90539,60783,12077,9367,6245,5834,8450,0
2022-03,813,5769,18196,96079,64830,13367,10442,12558,5472,12538,141506
2022-04,996,4325,14831,75265,54376,11961,9540,11274,5768,13620,524160
2022-05,801,5238,16845,82456,58962,13188,10293,16167,7034,0,0
2022-06,885,5358,18658,95528,71066,17465,12396,13975,9733,13023,0
2022-07,817,5002,18449,96774,68843,14866,10791,10761,5416,0,0
2022-08,938,5569,21911,107033,83628,17094,12070,14223,5305,0,0
2022-09,842,5195,19892,97388,76725,16282,12846,12230,7390,12130,630030
2022-10,792,4755,18743,89724,72970,17664,12970,16218,17134,8808,109944
2022-11,922,5417,21920,114561,100406,22686,15961,18569,17620,0,0
2022-12,681,4387,18500,106918,100522,29970,25182,40014,9466,13294,245475
2023-01,587,3152,13637,77855,58862,8694,5740,4058,3554,0,0
2023-02,846,4552,17913,95883,79520,15840,11429,9679,11084,24369,304849
2023-03,915,4513,17261,98651,83825,19026,12438,12184,17782,0,0
2023-04,701,3862,13505,76114,67968,14743,12383,9835,9156,0,0
2023-05,912,4860,17354,94119,88720,20278,15650,17918,20231,16215,242132
2023-06,855,4636,15633,88558,85893,20897,18012,18561,19503,14038,0
2023-07,777,4208,15046,93322,94146,19988,15110,15309,28193,0,117873
2023-08,881,4754,16654,102450,105818,22846,16131,14793,6667,71302,0
2023-09,688,4205,13839,93375,101477,22602,14480,16952,21042,5988,0
2023-10,718,4227,13294,97407,107624,22684,15801,14471,14558,26478,0
2023-11,677,4379,13566,100716,120055,26823,19026,17424,18611,11934,83175
2023-12,487,3778,11806,91255,118021,34411,27061,31195,11708,28405,130002
2024-01,428,2928,8814,68969,73359,12321,6158,3323,15372,19574,0
2024-02,626,4148,11108,88554,101995,19101,11783,6780,7994,29419,0
2024-03,497,3967,10120,79162,97716,21360,12272,8728,6282,0,425068
2024-04,509,4297,10377,76625,98430,20826,12053,3722,11750,0,0
2024-05,497,4324,10617,77925,99339,22520,13814,2475,8816,0,90099
2024-06,219,2235,5646,39915,56305,12334,6741,299,3775,0,0
