instal type,SED name,SED state,Capacity,capacity Commercial,capacity Power Station,capacity Residential,Density,Dwellings,instals Power Station,number of instals
instals Residential,West Swan (East Metropolitan),WA,69230,6729,1392,61109,61.2,20059,6,12270
instals Commercial,West Torrens,SA,48735,14360,3144,31231,41,14867,6,511
instals Residential,West Torrens,SA,48735,14360,3144,31231,41,14867,6,6094
instals Commercial,Whitsunday,QLD,81013,16772,1581,62660,48.7,21752,5,600
instals Residential,Whitsunday,QLD,81013,16772,1581,62660,48.7,21752,5,10601
instals Commercial,Willagee (South Metropolitan),WA,41564,6704,1635,33225,45.4,16151,8,189
instals Residential,Willagee (South Metropolitan),WA,41564,6704,1635,33225,45.4,16151,8,7333
instals Commercial,Williamstown (Western Metropolitan),VIC,39031,10107,2466,26458,19.4,29573,8,273
instals Residential,Williamstown (Western Metropolitan),VIC,39031,10107,2466,26458,19.4,29573,8,5724
instals Commercial,Willoughby,NSW,35091,7411,712,26968,24.2,18620,3,299
instals Residential,Willoughby,NSW,35091,7411,712,26968,24.2,18620,3,4510
instals Commercial,Wollondilly,NSW,109956,22277,2659,85020,39.4,34778,6,965
instals Residential,Wollondilly,NSW,109956,22277,2659,85020,39.4,34778,6,13699
instals Commercial,Wollongong,NSW,57694,13324,2747,41623,28.8,26013,10,380
instals Residential,Wollongong,NSW,57694,13324,2747,41623,28.8,26013,10,7503
instals Commercial,Woodridge,QLD,68602,14253,1783,52566,44.3,25143,8,352
instals Residential,Woodridge,QLD,68602,14253,1783,52566,44.3,25143,8,11131
instals Commercial,Wright,SA,47108,6108,1109,39891,57.8,14843,3,220
instals Residential,Wright,SA,47108,6108,1109,39891,57.8,14843,3,8585
instals Commercial,Wyong,NSW,83216,10281,8100,64835,37.3,32178,9,382
instals Residential,Wyong,NSW,83216,10281,8100,64835,37.3,32178,9,11997
instals Commercial,Yan Yean (Northern Victoria),VIC,81901,8222,374,73305,33.7,38719,1,373
instals Residential,Yan Yean (Northern Victoria),VIC,81901,8222,374,73305,33.7,38719,1,13054
instals Commercial,Yerrabi,ACT,107328,16879,2174,88275,34.9,38127,6,691
instals Residential,Yerrabi,ACT,107328,16879,2174,88275,34.9,38127,6,13320
instals Commercial,Yuroke (Northern Metropolitan),VIC,118554,10774,3086,104694,35.4,48790,6,451
instals Residential,Yuroke (Northern Metropolitan),VIC,118554,10774,3086,104694,35.4,48790,6,17279
