date,Category,Count,Cumulative_Sum
2011-05,2.5–4.5,34431,204442
2011-06,2.5–4.5,53728,258170
2011-07,2.5–4.5,19135,277305
2011-08,2.5–4.5,22485,299790
2011-09,2.5–4.5,27479,327269
2011-10,2.5–4.5,16600,343869
2011-11,2.5–4.5,17822,361691
2011-12,2.5–4.5,14380,376071
2012-01,2.5–4.5,12289,388360
2012-02,2.5–4.5,17677,406037
2012-03,2.5–4.5,21207,427244
2012-04,2.5–4.5,24459,451703
2012-05,2.5–4.5,43660,495363
2012-06,2.5–4.5,65076,560439
2012-07,2.5–4.5,30133,590572
2012-08,2.5–4.5,32933,623505
2012-09,2.5–4.5,34652,658157
2012-10,2.5–4.5,26168,684325
2012-11,2.5–4.5,26019,710344
2012-12,2.5–4.5,36930,747274
2013-01,2.5–4.5,17951,765225
2013-02,2.5–4.5,18802,784027
2013-03,2.5–4.5,19190,803217
2013-04,2.5–4.5,19225,822442
2013-05,2.5–4.5,22152,844594
2013-06,2.5–4.5,24435,869029
2013-07,2.5–4.5,19854,888883
2013-08,2.5–4.5,18010,906893
2013-09,2.5–4.5,18082,924975
2013-10,2.5–4.5,21567,946542
2013-11,2.5–4.5,19557,966099
2013-12,2.5–4.5,15952,982051
2014-01,2.5–4.5,15860,997911
2014-02,2.5–4.5,17005,1014916
2014-03,2.5–4.5,18026,1032942
2014-04,2.5–4.5,16934,1049876
2014-05,2.5–4.5,20193,1070069
2014-06,2.5–4.5,17454,1087523
2014-07,2.5–4.5,20298,1107821
2014-08,2.5–4.5,18351,1126172
2014-09,2.5–4.5,20166,1146338
2014-10,2.5–4.5,21335,1167673
2014-11,2.5–4.5,18002,1185675
2014-12,2.5–4.5,17538,1203213
2015-01,2.5–4.5,14705,1217918
2015-02,2.5–4.5,15659,1233577
2015-03,2.5–4.5,15900,1249477
2015-04,2.5–4.5,13332,1262809
2015-05,2.5–4.5,13390,1276199
2015-06,2.5–4.5,13444,1289643
2015-07,2.5–4.5,14365,1304008
2015-08,2.5–4.5,13255,1317263
2015-09,2.5–4.5,13209,1330472
2015-10,2.5–4.5,12779,1343251
2015-11,2.5–4.5,12911,1356162
2015-12,2.5–4.5,11593,1367755
2016-01,2.5–4.5,8921,1376676
2016-02,2.5–4.5,11839,1388515
2016-03,2.5–4.5,11848,1400363
2016-04,2.5–4.5,11219,1411582
2016-05,2.5–4.5,11513,1423095
2016-06,2.5–4.5,10716,1433811
2016-07,2.5–4.5,10894,1444705
2016-08,2.5–4.5,12188,1456893
2016-09,2.5–4.5,11740,1468633
2016-10,2.5–4.5,10705,1479338
2016-11,2.5–4.5,13980,1493318
2016-12,2.5–4.5,13496,1506814
2017-01,2.5–4.5,10483,1517297
2017-02,2.5–4.5,12851,1530148
