date,mw,value
2010-03,'5Mw–30Mw',0
2010-03,100kW–5MW',0
2010-03,14–25kW',1062
2010-03,2.5–4.5kW',18741
2010-03,25–50kW',865
2010-03,4.5–6.5kW',6315
2010-03,50–100kW',381
2010-03,6.5–9.5kW',1530
2010-03,9.5–14kW',1999
2010-03,<2.5kW',128579
2010-04,'30+ Mw',0
2010-04,'5Mw–30Mw',0
2010-04,100kW–5MW',0
2010-04,14–25kW',1197
2010-04,2.5–4.5kW',22771
2010-04,25–50kW',894
2010-04,4.5–6.5kW',7500
2010-04,50–100kW',381
2010-04,6.5–9.5kW',1765
2010-04,9.5–14kW',2529
2010-04,<2.5kW',145332
2010-05,'30+ Mw',0
2010-05,'5Mw–30Mw',0
2010-05,100kW–5MW',0
2010-05,14–25kW',1264
2010-05,2.5–4.5kW',27698
2010-05,25–50kW',979
2010-05,4.5–6.5kW',8778
2010-05,50–100kW',540
2010-05,6.5–9.5kW',2133
2010-05,9.5–14kW',3341
2010-05,<2.5kW',166525
2010-06,'30+ Mw',0
2010-06,'5Mw–30Mw',0
2010-06,100kW–5MW',0
2010-06,14–25kW',1378
2010-06,2.5–4.5kW',33911
2010-06,25–50kW',1228
2010-06,4.5–6.5kW',10862
2010-06,50–100kW',740
2010-06,6.5–9.5kW',2645
2010-06,9.5–14kW',5011
2010-06,<2.5kW',189541
2010-07,'30+ Mw',0
2010-07,'5Mw–30Mw',0
2010-07,100kW–5MW',0
2010-07,14–25kW',1503
2010-07,2.5–4.5kW',41596
2010-07,25–50kW',1518
2010-07,4.5–6.5kW',13496
2010-07,50–100kW',740
2010-07,6.5–9.5kW',3255
2010-07,9.5–14kW',6647
2010-07,<2.5kW',211185
2010-08,'30+ Mw',0
2010-08,'5Mw–30Mw',0
2010-08,100kW–5MW',0
2010-08,14–25kW',1688
2010-08,2.5–4.5kW',50045
2010-08,25–50kW',1841
2010-08,4.5–6.5kW',16442
2010-08,50–100kW',860
2010-08,6.5–9.5kW',4003
2010-08,9.5–14kW',8485
2010-08,<2.5kW',233924
2010-09,'30+ Mw',0
2010-09,'5Mw–30Mw',0
2010-09,100kW–5MW',0
2010-09,14–25kW',1929
2010-09,2.5–4.5kW',59846
2010-09,25–50kW',2107
2010-09,4.5–6.5kW',19834
2010-09,50–100kW',1088
2010-09,6.5–9.5kW',4729
2010-09,9.5–14kW',10666
2010-09,<2.5kW',258574
2010-10,'30+ Mw',0
2010-10,'5Mw–30Mw',0
2010-10,100kW–5MW',0
2010-10,14–25kW',2081
2010-10,2.5–4.5kW',70689
2010-10,25–50kW',2325
2010-10,4.5–6.5kW',23575
2010-10,50–100kW',1232
2010-10,6.5–9.5kW',5673
2010-10,9.5–14kW',12650
2010-10,<2.5kW',286169
2010-11,'30+ Mw',0
2010-11,'5Mw–30Mw',0
2010-11,100kW–5MW',0
2010-11,14–25kW',2519
2010-11,2.5–4.5kW',84239
2010-11,25–50kW',2901
2010-11,4.5–6.5kW',28103
2010-11,50–100kW',1739
2010-11,6.5–9.5kW',6441
2010-11,9.5–14kW',14990
2010-11,<2.5kW',318311
2010-12,'30+ Mw',0
2010-12,'5Mw–30Mw',0
2010-12,100kW–5MW',0
2010-12,14–25kW',2762
2010-12,2.5–4.5kW',94890
2010-12,25–50kW',3210
2010-12,4.5–6.5kW',31366
2010-12,50–100kW',1966
2010-12,6.5–9.5kW',7127
2010-12,9.5–14kW',17086
2010-12,<2.5kW',341970
2011-01,'30+ Mw',0
2011-01,'5Mw–30Mw',0
2011-01,100kW–5MW',0
2011-01,14–25kW',3026
2011-01,2.5–4.5kW',110532
2011-01,25–50kW',3629
2011-01,4.5–6.5kW',36656
2011-01,50–100kW',2171
2011-01,6.5–9.5kW',8068
2011-01,9.5–14kW',20730
2011-01,<2.5kW',373749
2011-02,'30+ Mw',0
2011-02,'5Mw–30Mw',0
2011-02,100kW–5MW',0
2011-02,14–25kW',3435
2011-02,2.5–4.5kW',127745
2011-02,25–50kW',3902
2011-02,4.5–6.5kW',42274
2011-02,50–100kW',2560
2011-02,6.5–9.5kW',9246
2011-02,9.5–14kW',24051
2011-02,<2.5kW',410008
2011-03,'30+ Mw',0
2011-03,'5Mw–30Mw',0
2011-03,100kW–5MW',0
2011-03,14–25kW',3810
2011-03,2.5–4.5kW',149340
2011-03,25–50kW',4424
2011-03,4.5–6.5kW',49700
2011-03,50–100kW',2560
2011-03,6.5–9.5kW',10303
2011-03,9.5–14kW',29123
2011-03,<2.5kW',454158
2011-04,'30+ Mw',0
2011-04,'5Mw–30Mw',0
2011-04,100kW–5MW',0
2011-04,14–25kW',4364
2011-04,2.5–4.5kW',170011
2011-04,25–50kW',4903
2011-04,4.5–6.5kW',56659
2011-04,50–100kW',2708
2011-04,6.5–9.5kW',11499
2011-04,9.5–14kW',34240
2011-04,<2.5kW',495099
2011-05,'30+ Mw',0
2011-05,'5Mw–30Mw',0
2011-05,100kW–5MW',0
2011-05,14–25kW',5061
2011-05,2.5–4.5kW',204442
2011-05,25–50kW',6028
2011-05,4.5–6.5kW',67892
2011-05,50–100kW',3344
2011-05,6.5–9.5kW',13016
2011-05,9.5–14kW',39642
2011-05,<2.5kW',556132
2011-06,'30+ Mw',0
2011-06,'5Mw–30Mw',0
2011-06,100kW–5MW',0
2011-06,14–25kW',7105
2011-06,2.5–4.5kW',258170
2011-06,25–50kW',7953
2011-06,4.5–6.5kW',88428
2011-06,50–100kW',4861
2011-06,6.5–9.5kW',15360
2011-06,9.5–14kW',45155
2011-06,<2.5kW',635962
2011-07,'30+ Mw',0
2011-07,'5Mw–30Mw',0
2011-07,100kW–5MW',0
2011-07,14–25kW',7772
2011-07,2.5–4.5kW',277305
2011-07,25–50kW',8536
2011-07,4.5–6.5kW',95322
2011-07,50–100kW',4971
2011-07,6.5–9.5kW',16007
2011-07,9.5–14kW',46745
2011-07,<2.5kW',660553
2011-08,'30+ Mw',0
2011-08,'5Mw–30Mw',0
2011-08,100kW–5MW',0
2011-08,14–25kW',8229
2011-08,2.5–4.5kW',299790
2011-08,25–50kW',9308
2011-08,4.5–6.5kW',104087
2011-08,50–100kW',4971
2011-08,6.5–9.5kW',16571
2011-08,9.5–14kW',48209
2011-08,<2.5kW',682738
2011-09,'30+ Mw',0
2011-09,'5Mw–30Mw',0
2011-09,100kW–5MW',100
2011-09,14–25kW',8803
2011-09,2.5–4.5kW',327269
2011-09,25–50kW',10388
2011-09,4.5–6.5kW',117218
2011-09,50–100kW',5027
2011-09,6.5–9.5kW',17463
2011-09,9.5–14kW',49675
2011-09,<2.5kW',705415
2011-10,'30+ Mw',0
2011-10,'5Mw–30Mw',0
2011-10,100kW–5MW',100
2011-10,14–25kW',9255
2011-10,2.5–4.5kW',343869
2011-10,25–50kW',11304
2011-10,4.5–6.5kW',124739
2011-10,50–100kW',5027
2011-10,6.5–9.5kW',18306
2011-10,9.5–14kW',51179
2011-10,<2.5kW',721661
2011-11,'30+ Mw',0
2011-11,'5Mw–30Mw',0
2011-11,100kW–5MW',100
2011-11,14–25kW',9610
2011-11,2.5–4.5kW',361691
2011-11,25–50kW',12281
2011-11,4.5–6.5kW',133923
2011-11,50–100kW',5078
2011-11,6.5–9.5kW',19227
2011-11,9.5–14kW',53571
2011-11,<2.5kW',738470
2011-12,'30+ Mw',0
2011-12,'5Mw–30Mw',0
2011-12,100kW–5MW',100
2011-12,14–25kW',10194
2011-12,2.5–4.5kW',376071
2011-12,25–50kW',13269
2011-12,4.5–6.5kW',142198
2011-12,50–100kW',5128
2011-12,6.5–9.5kW',20091
2011-12,9.5–14kW',54632
2011-12,<2.5kW',752183
2012-01,'30+ Mw',0
2012-01,'5Mw–30Mw',0
2012-01,100kW–5MW',100
2012-01,14–25kW',10397
2012-01,2.5–4.5kW',388360
2012-01,25–50kW',13875
2012-01,4.5–6.5kW',149265
2012-01,50–100kW',5334
2012-01,6.5–9.5kW',20650
2012-01,9.5–14kW',55636
2012-01,<2.5kW',764883
2012-02,'30+ Mw',0
2012-02,'5Mw–30Mw',0
2012-02,100kW–5MW',100
2012-02,14–25kW',10826
2012-02,2.5–4.5kW',406037
2012-02,25–50kW',14646
2012-02,4.5–6.5kW',159654
2012-02,50–100kW',5455
2012-02,6.5–9.5kW',21485
2012-02,9.5–14kW',56902
2012-02,<2.5kW',784473
2012-03,'30+ Mw',0
2012-03,'5Mw–30Mw',0
2012-03,100kW–5MW',100
2012-03,14–25kW',11285
2012-03,2.5–4.5kW',427244
2012-03,25–50kW',15334
2012-03,4.5–6.5kW',173678
2012-03,50–100kW',5554
2012-03,6.5–9.5kW',22583
2012-03,9.5–14kW',58405
2012-03,<2.5kW',807827
